UTCTime,Time,RelTime,ActSatId,ActBeam [1-16],ActGain,ActSNR,FiltSNR,gnId,fwdChan,revChan,satAz,satElev,satGeoSep
00:01:36,,96000,369,12,20.31225147,8.563320771,9.539600106,127,5,1,37.38921872,69.96501772,58.32776237
00:01:37,,97000,369,11,19.81993128,8.231645284,9.408804623,127,4,4,37.99056688,70.20913495,58.01645373
00:01:38,,98000,369,11,20.90037697,8.967158632,9.364640024,127,4,4,38.60777713,70.45173817,57.70430789
00:01:39,,99000,369,11,21.7448783,9.499987685,9.37817479,127,4,4,39.24134501,70.69272323,57.3913391
00:01:40,,100000,369,11,22.35628077,9.86218866,9.426576177,127,4,4,39.89177297,70.93198404,57.0775614
00:01:41,,101000,369,11,22.77562544,10.09966104,9.493884663,127,4,4,40.55957494,71.16940879,56.76298945
00:01:42,,102000,369,11,22.99523164,10.2222943,9.566725628,127,4,4,41.24527504,71.40488226,56.44763717
00:01:43,,103000,369,11,23.01413314,10.23744663,9.633797728,127,4,4,41.94940397,71.63828327,56.13151983
00:01:44,,104000,369,11,22.82388445,10.1415869,9.684576645,127,4,4,42.67249999,71.86948729,55.81465188
00:01:45,,105000,369,11,22.40539715,9.917561094,9.70787509,127,4,4,43.41510869,72.09836295,55.49704856
00:01:46,,106000,369,11,21.76312486,9.55218153,9.692305734,127,4,4,44.17777382,72.32477653,55.1787252
00:01:47,,107000,369,11,20.88174933,9.012401008,9.624315261,127,4,4,44.96105162,72.54858561,54.85969649
00:01:48,,108000,369,11,19.76676761,8.270431023,9.488926838,127,4,4,45.76548745,72.76964519,54.5399785
00:01:49,,109000,369,10,20.44384613,8.737652661,9.41379942,127,3,3,46.59162946,72.98780353,54.21958672
00:01:50,,110000,369,10,21.38158773,9.342492278,9.406668706,127,3,3,47.44001832,73.20290384,53.89853695
00:01:51,,111000,369,10,22.09303847,9.769983494,9.443000185,127,3,3,48.31118579,73.41478396,53.57684503
00:01:52,,112000,369,10,22.59082541,10.05301383,9.504001549,127,3,3,49.20565047,73.62327519,53.25452751
00:01:53,,113000,369,10,22.87271604,10.20851008,9.574452402,127,3,3,50.12391256,73.82820566,52.9316003
00:01:54,,114000,369,10,22.95105421,10.25363461,9.642370623,127,3,3,51.06645711,74.02939394,52.60807981
00:01:55,,115000,369,10,22.81001291,10.182985,9.69643206,127,3,3,52.03373717,74.22665693,52.2839822
00:01:56,,116000,369,10,22.46024434,9.997383701,9.726527224,127,3,3,53.02617351,74.41980429,51.95932479
00:01:57,,117000,369,10,21.88807116,9.676657216,9.721540224,127,3,3,54.04415308,74.60864087,51.63412392
00:01:58,,118000,369,10,21.09700244,9.202109372,9.669597138,127,3,3,55.08801473,74.7929667,51.30839702
00:01:59,,119000,369,10,20.08165187,8.543274074,9.556964832,127,3,3,56.15804958,74.97257735,50.98216086
00:02:00,,120000,369,9,20.11239951,8.568170819,9.458085431,127,2,2,57.25448919,75.14726417,50.65543279
00:02:01,,121000,369,9,21.09017718,9.209059293,9.433182817,127,2,2,58.37750469,75.31681396,50.32822937
00:02:02,,122000,369,9,21.84229933,9.667381722,9.456602707,127,2,2,59.52718561,75.48101055,50.00056921
00:02:03,,123000,369,9,22.37562844,9.973744811,9.508316918,127,2,2,60.70354641,75.63963611,49.67246936
00:02:04,,124000,369,9,22.70435719,10.15532091,9.573017317,127,2,2,61.90651324,75.79247014,49.34394709
00:02:05,,125000,369,9,22.82418613,10.22147496,9.637863082,127,2,2,63.13591211,75.93929049,49.01502074
00:02:06,,126000,369,9,22.73912027,10.17881064,9.691957837,127,2,2,64.39147014,76.07987576,48.68570713
00:02:07,,127000,369,9,22.45091019,10.02544907,9.72530696,127,2,2,65.67279211,76.21400488,48.35602578
00:02:08,,128000,369,9,21.94209334,9.74146902,9.726923166,127,2,2,66.97937524,76.34145941,48.02599356
00:02:09,,129000,369,9,21.20735744,9.304959061,9.684726756,127,2,2,68.31058886,76.46202101,47.69562876
00:02:10,,130000,369,9,20.23142513,8.679472753,9.584201355,127,2,2,69.66566935,76.57547965,47.36494963
00:02:11,,131000,369,8,20.13563267,8.617401822,9.487521402,127,1,1,71.04372165,76.68162823,47.03397449
00:02:12,,132000,369,8,21.0379176,9.205757255,9.459344987,127,1,1,72.44371387,76.78026815,46.7027216
00:02:13,,133000,369,8,21.72171599,9.622655787,9.475676067,127,1,1,73.8644764,76.87120731,46.3712096
00:02:14,,134000,369,8,22.19701737,9.897341634,9.517842624,127,1,1,75.30470467,76.95426556,46.03945657
00:02:15,,135000,369,8,22.47394243,10.05186792,9.571245154,127,1,1,76.76296122,77.02927371,45.70748054
00:02:16,,136000,369,8,22.55276136,10.09578643,9.623699281,127,1,1,78.23767274,77.09607297,45.37530116
00:02:17,,137000,369,8,22.44060067,10.03574021,9.664903374,127,1,1,79.72715072,77.15452156,45.04293639
00:02:18,,138000,369,8,22.12082983,9.858729157,9.684285952,127,1,1,81.22959283,77.20449157,44.71040436
00:02:19,,139000,369,8,21.58696089,9.549704641,9.670827821,127,1,1,82.74308749,77.24587191,44.37772474
00:02:20,,140000,369,8,20.8370372,9.088656313,9.61261067,127,1,1,84.26564291,77.27856934,44.04491515
00:02:21,,141000,369,8,19.86500742,8.446445645,9.495994168,127,1,1,85.79518543,77.30250967,43.71199481
00:02:22,,142000,369,7,20.27169195,8.721609749,9.418555726,127,8,4,87.3295842,77.31763722,43.37898259
00:02:23,,143000,369,7,21.52470254,9.514107141,9.428110867,127,8,4,88.866672,77.32391705,43.04589637
00:02:24,,144000,369,7,22.46141772,10.05009024,9.490308805,127,8,4,90.40424934,77.32133317,42.71275583
00:02:25,,145000,369,7,23.1096405,10.39165167,9.580443092,127,8,4,91.94012205,77.30989113,42.37957874
00:02:26,,146000,369,7,23.47694877,10.57430784,9.679829566,127,8,4,93.47210598,77.28961673,42.0463838
00:02:27,,147000,369,7,23.56545886,10.61686597,9.773533207,127,8,4,94.99804741,77.26055603,41.71319033
00:02:28,,148000,369,7,23.37034011,10.52117092,9.848296979,127,8,4,96.51584814,77.22277458,41.38001662
00:02:29,,149000,369,7,22.90123786,10.28263618,9.8917309,127,8,4,98.02347736,77.1763567,41.04688095
00:02:30,,150000,369,7,22.15931275,9.879731105,9.89053092,127,8,4,99.51898642,77.12140613,40.71380216
00:02:31,,151000,369,7,21.14190891,9.276736628,9.829151491,127,8,4,101.0005218,77.05804083,40.38079853
00:02:32,,152000,369,7,19.80096713,8.396842023,9.685920544,127,8,4,102.4663404,76.98639679,40.04788856
00:02:33,,153000,369,6,20.32810768,8.751871098,9.592515599,127,7,3,103.9148189,76.90662549,39.71509071
00:02:34,,154000,369,6,21.51142291,9.497985951,9.583062635,127,7,3,105.3444572,76.81888982,39.38242336
00:02:35,,155000,369,6,22.41253149,10.01434759,9.62619113,127,7,3,106.7538907,76.72336521,39.0499043
00:02:36,,156000,369,6,23.03619797,10.3443184,9.698003857,127,7,3,108.1418888,76.62023911,38.71755219
00:02:37,,157000,369,6,23.38851515,10.52017408,9.780220879,127,7,3,109.5073563,76.50970573,38.38538503
00:02:38,,158000,369,6,23.47638686,10.56162996,9.858361787,127,7,3,110.8493404,76.3919693,38.05342064
00:02:39,,159000,369,6,23.30270507,10.4739865,9.919924259,127,7,3,112.1670173,76.26723779,37.72167691
00:02:40,,160000,369,6,22.87131213,10.25123914,9.953055747,127,7,3,113.4596958,76.13572532,37.39017194
00:02:41,,161000,369,6,22.16495309,9.864348844,9.944185057,127,7,3,114.7268152,75.99764993,37.05892328
00:02:42,,162000,369,6,21.1905134,9.284758124,9.878242364,127,7,3,115.9679346,75.85323151,36.72794844
00:02:43,,163000,369,6,19.90533307,8.44222876,9.734641003,127,7,3,117.1827276,75.70269182,36.3972652
00:02:44,,164000,369,5,20.2804315,8.692798219,9.630456725,127,6,2,118.3709775,75.54625204,36.06689044
00:02:45,,165000,369,5,21.4556314,9.437950449,9.611206097,127,6,2,119.5325672,75.38413392,35.73684174
00:02:46,,166000,369,5,22.34503039,9.951325748,9.645218062,127,6,2,120.6674651,75.21655547,35.40713668
00:02:47,,167000,369,5,22.97827406,10.28892589,9.709588845,127,6,2,121.775736,75.04373391,35.07779118
00:02:48,,168000,369,5,23.35386316,10.47720929,9.78635089,127,6,2,122.8575127,74.86588358,34.74882279
00:02:49,,169000,369,5,23.47879896,10.53603038,9.861318839,127,6,2,123.9129988,74.68321545,34.42024862
00:02:50,,170000,369,5,23.34442228,10.46620683,9.921807638,127,6,2,124.9424613,74.49593514,34.09208435
00:02:51,,171000,369,5,22.95319047,10.26271535,9.955898409,127,6,2,125.9462195,74.30424489,33.76434645
00:02:52,,172000,369,5,22.31779712,9.915071669,9.951815735,127,6,2,126.9246389,74.10834301,33.437052
00:02:53,,173000,369,5,21.4207512,9.386152924,9.895249454,127,6,2,127.8781228,73.90842009,33.1102166
00:02:54,,174000,369,5,20.28007467,8.650450918,9.7707696,127,6,2,128.8071144,73.70466335,32.78385583
00:02:55,,175000,369,4,19.86702489,8.363820443,9.630074685,127,5,1,129.712084,73.49725515,32.4579859
00:02:56,,176000,369,4,21.07772212,9.159343337,9.58300155,127,5,1,130.5935238,73.28637102,32.13262216
00:02:57,,177000,369,4,22.00104757,9.713031127,9.596004507,127,5,1,131.4519447,73.07218161,31.80778033
00:02:58,,178000,369,4,22.66091986,10.07869596,9.644273653,127,5,1,132.2878758,72.85485202,31.48347524
00:02:59,,179000,369,4,23.07168672,10.29235357,9.709081645,127,5,1,133.1018518,72.63454079,31.1597218
00:03:00,,180000,369,4,23.26618621,10.38788481,9.776961961,127,5,1,133.8944203,72.41140355,30.83653558
00:03:01,,181000,369,4,23.22895462,10.36431467,9.835697233,127,5,1,134.6661258,72.18558722,30.51393092
00:03:02,,182000,369,4,22.9817637,10.23126823,9.875254333,127,5,1,135.4175208,71.95723499,30.19192191
00:03:03,,183000,369,4,22.49810603,9.964800187,9.884208918,127,5,1,136.1491543,71.72648448,29.8705227
00:03:04,,184000,369,4,21.78580203,9.549768137,9.85076484,127,5,1,136.8615716,71.49346943,29.54974839
00:03:05,,185000,369,4,20.82420928,8.945895811,9.760277937,127,5,1,137.5553146,71.25831632,29.22961179
00:03:06,,186000,369,4,19.62067902,8.122345857,9.596484729,127,5,1,138.230918,71.02114805,28.91012668
00:03:07,,187000,369,3,20.54532392,8.749758196,9.511812076,127,4,4,138.8889107,70.78208399,28.59130729
00:03:08,,188000,369,3,21.56178457,9.390305269,9.499661395,127,4,4,139.5298074,70.54123586,28.27316613
00:03:09,,189000,369,3,22.33227332,9.83754815,9.533450071,127,4,4,140.1541176,70.29871344,27.9557167
00:03:10,,190000,369,3,22.86854053,10.1277778,9.592882843,127,4,4,140.7623407,70.05462086,27.63897111
00:03:11,,191000,369,3,23.18415147,10.28877083,9.662471641,127,4,4,141.3549628,69.80905914,27.32294243
